               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.017776,           0.0078059,           0.0022609,             0.97108,             0.98161,             0.99327,             0.81537,            0.014352,           0.0040338,          0.00073406,           0.0035269,           0.0035269,           0.0035269
                  36,            0.017244,           0.0076675,           0.0020927,             0.97145,             0.98456,             0.99319,             0.81145,            0.014321,           0.0039542,           0.0007304,           0.0033365,           0.0033365,           0.0033365
                  37,            0.017087,           0.0076089,            0.002091,             0.96995,             0.98212,             0.99271,             0.81865,            0.013775,           0.0039311,          0.00098951,           0.0031462,           0.0031462,           0.0031462
                  38,            0.017182,           0.0075232,           0.0021011,             0.97942,             0.96862,             0.99266,              0.8173,            0.014165,           0.0039344,             0.00089,           0.0029558,           0.0029558,           0.0029558
                  39,            0.016838,           0.0075121,           0.0018917,             0.97085,             0.98307,             0.99341,             0.81913,            0.013815,           0.0038823,           0.0006354,           0.0027654,           0.0027654,           0.0027654
                  40,            0.016758,           0.0073664,           0.0021867,              0.9798,             0.98269,              0.9937,             0.82184,            0.013852,           0.0039495,          0.00054945,            0.002575,            0.002575,            0.002575
                  41,              0.0168,           0.0074729,           0.0019512,              0.9749,             0.98754,              0.9938,             0.82313,            0.013674,            0.003831,          0.00044961,           0.0023846,           0.0023846,           0.0023846
                  42,            0.016209,            0.007471,           0.0015443,              0.9799,             0.98136,             0.99369,             0.82898,            0.013703,           0.0038413,           0.0005805,           0.0021942,           0.0021942,           0.0021942
                  43,             0.01634,           0.0073969,           0.0017432,             0.96338,             0.98271,             0.99182,             0.82573,            0.013519,           0.0038606,           0.0011744,           0.0020038,           0.0020038,           0.0020038
                  44,            0.016196,              0.0074,            0.001691,             0.97363,             0.98883,             0.99353,             0.82462,            0.013719,           0.0038792,          0.00059792,           0.0018135,           0.0018135,           0.0018135
                  45,            0.015877,            0.007269,           0.0017072,             0.98008,             0.97627,             0.99365,             0.82779,            0.013385,           0.0038261,          0.00060029,           0.0016231,           0.0016231,           0.0016231
                  46,             0.01605,           0.0072575,           0.0015563,             0.97491,             0.98289,             0.99329,             0.82409,            0.013596,           0.0038563,          0.00065111,           0.0014327,           0.0014327,           0.0014327
                  47,            0.015839,           0.0073693,           0.0015243,             0.97613,             0.98319,             0.99219,             0.82673,            0.013308,           0.0038011,           0.0006971,           0.0012423,           0.0012423,           0.0012423
                  48,            0.015602,           0.0071012,           0.0016708,             0.98232,             0.98702,             0.99423,             0.82968,            0.013128,            0.003782,          0.00037521,           0.0010519,           0.0010519,           0.0010519
                  49,            0.015437,           0.0071727,           0.0014668,             0.98345,             0.98933,             0.99399,             0.82811,            0.013169,           0.0037798,          0.00035781,          0.00086154,          0.00086154,          0.00086154
                  50,            0.015261,            0.006952,            0.001371,             0.98237,             0.98205,             0.99402,             0.82646,            0.013306,           0.0038134,          0.00038661,          0.00067115,          0.00067115,          0.00067115
                  51,            0.015385,           0.0069864,           0.0014762,             0.98114,             0.98384,             0.99389,             0.83132,            0.013353,           0.0037848,          0.00048007,          0.00048077,          0.00048077,          0.00048077
