               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.017394,           0.0075424,           0.0017949,             0.98566,             0.98683,             0.99449,             0.83148,            0.013285,           0.0036539,          0.00049014,           0.0035269,           0.0035269,           0.0035269
                  36,            0.017073,            0.007404,            0.001682,             0.98623,             0.98322,               0.994,              0.8288,             0.01394,           0.0037369,          0.00038225,           0.0033365,           0.0033365,           0.0033365
                  37,            0.016983,           0.0073504,           0.0017016,             0.98625,             0.99048,             0.99429,             0.83694,            0.013126,           0.0035703,          0.00066583,           0.0031462,           0.0031462,           0.0031462
                  38,              0.0169,           0.0072503,           0.0014091,             0.99304,             0.98951,             0.99481,             0.83823,            0.012904,           0.0035801,          0.00036606,           0.0029558,           0.0029558,           0.0029558
                  39,            0.016575,           0.0072007,           0.0011527,             0.98488,             0.99134,             0.99472,             0.83622,            0.012893,           0.0035132,          0.00041544,           0.0027654,           0.0027654,           0.0027654
                  40,            0.016471,            0.007081,           0.0014268,             0.99007,              0.9888,             0.99457,             0.83896,            0.012719,           0.0035497,          0.00064995,            0.002575,            0.002575,            0.002575
                  41,            0.016297,           0.0070694,            0.001427,             0.99403,             0.98811,             0.99461,             0.83531,            0.013181,           0.0035836,          0.00027508,           0.0023846,           0.0023846,           0.0023846
                  42,            0.015727,            0.007077,          0.00093546,             0.99068,             0.99278,              0.9947,             0.84103,             0.01286,           0.0035085,          0.00023537,           0.0021942,           0.0021942,           0.0021942
                  43,            0.015962,            0.007092,           0.0011698,             0.98722,             0.98865,             0.99466,             0.84386,            0.012692,           0.0035091,           0.0004529,           0.0020038,           0.0020038,           0.0020038
                  44,            0.015738,           0.0069887,           0.0012037,             0.98965,             0.98735,             0.99456,             0.84019,            0.013076,           0.0035347,          0.00026943,           0.0018135,           0.0018135,           0.0018135
                  45,            0.015558,           0.0069751,           0.0010827,             0.99374,             0.98905,             0.99479,             0.84475,            0.012545,           0.0034816,          0.00024475,           0.0016231,           0.0016231,           0.0016231
                  46,            0.015731,           0.0069396,           0.0011724,             0.98987,             0.98571,             0.99448,             0.84316,            0.012786,           0.0035852,          0.00031989,           0.0014327,           0.0014327,           0.0014327
                  47,            0.015371,             0.00703,            0.001311,             0.99168,             0.98536,             0.99454,              0.8434,            0.012651,           0.0035114,          0.00046214,           0.0012423,           0.0012423,           0.0012423
                  48,             0.01526,           0.0068209,          0.00097361,             0.99061,             0.98773,             0.99466,             0.84853,            0.012431,           0.0034495,          0.00024776,           0.0010519,           0.0010519,           0.0010519
                  49,            0.015014,           0.0068056,          0.00091531,             0.98878,             0.98466,             0.99449,             0.84605,            0.012335,           0.0034288,          0.00026553,          0.00086154,          0.00086154,          0.00086154
                  50,            0.014723,           0.0066169,           0.0010248,              0.9911,             0.98903,             0.99461,             0.84845,            0.012354,           0.0034618,          0.00025325,          0.00067115,          0.00067115,          0.00067115
                  51,            0.014927,           0.0066367,          0.00093009,               0.992,             0.98984,             0.99452,             0.84944,            0.012535,           0.0034391,          0.00025044,          0.00048077,          0.00048077,          0.00048077
